"section","code","specialist","status","first_available","last_booked","source_pdf_date","source_pdf_url"
"CENTAR ZA FIZIKALNU MEDICINU I REHABILITACIJU","500129","AMBULANTA ZA FIZIKALNU MEDICINU 3","NO_SLOTS",,"30.09.2022. 13:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA FIZIKALNU MEDICINU I REHABILITACIJU","500139","INTERVENTNA AMBULANTA ZA FIZIKALNU MEDICINU","NO_SLOTS",,"05.11.2025. 18:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA MEDICINSKU GENETIKU I IMUNOLOGIJU","101430","GENETSKA AMBULANTA 4","NO_SLOTS",,"23.02.2026. 15:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510158","KABINET ZA EKSPERTSKI UZ DOJKI SA CORE BIOPSIJOM","NO_SLOTS",,"31.03.2026. 09:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510325","MR BODY 1","NO_SLOTS",,"27.02.2025. 18:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510327","MR BODY 2","NO_SLOTS",,"30.05.2025. 10:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510315","MR BODY ONKOLOЕ KI 1","NO_SLOTS",,"23.02.2025. 10:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510317","MR BODY ONKOLOЕ KI 2","NO_SLOTS",,"26.02.2025. 18:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510367","MR DOJKI","NO_SLOTS",,"25.02.2025. 18:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510367","MR DOJKI","NO_SLOTS",,"24.02.2026. 19:20","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
