"section","code","specialist","status","first_available","last_booked","source_pdf_date","source_pdf_url"
"CENTAR ZA FIZIKALNU MEDICINU I REHABILITACIJU","500109","AMBULANTA ZA FIZIKALNU MEDICINU 1","HAS_SLOTS","29.05.2026. 13:45","18.05.2026. 09:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA FIZIKALNU MEDICINU I REHABILITACIJU","500119","AMBULANTA ZA FIZIKALNU MEDICINU 2","HAS_SLOTS","29.05.2026. 13:45","15.05.2026. 13:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA FIZIKALNU MEDICINU I REHABILITACIJU","500129","AMBULANTA ZA FIZIKALNU MEDICINU 3","NO_SLOTS",,"30.09.2022. 13:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA FIZIKALNU MEDICINU I REHABILITACIJU","500139","INTERVENTNA AMBULANTA ZA FIZIKALNU MEDICINU","NO_SLOTS",,"05.11.2025. 18:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA MEDICINSKU GENETIKU I IMUNOLOGIJU","101309","GENETSKA AMBULANTA 1","HAS_SLOTS","30.03.2026. 18:00","02.03.2026. 11:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA MEDICINSKU GENETIKU I IMUNOLOGIJU","101420","GENETSKA AMBULANTA 2 - ZA TRUDNICE","HAS_SLOTS","26.03.2026. 13:30","11.02.2026. 09:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA MEDICINSKU GENETIKU I IMUNOLOGIJU","101339","GENETSKA AMBULANTA 3","HAS_SLOTS","25.03.2026. 18:00","23.02.2026. 15:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA MEDICINSKU GENETIKU I IMUNOLOGIJU","101430","GENETSKA AMBULANTA 4","NO_SLOTS",,"23.02.2026. 15:45","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510466","AMBULANTA ZA ZAKAZIVANJE KONZILIJUMA ZA MR","HAS_SLOTS","27.02.2026. 11:58","27.02.2026. 11:20","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510466","AMBULANTA ZA ZAKAZIVANJE KONZILIJUMA ZA MR","HAS_SLOTS","20.02.2026. 11:58","17.02.2026. 10:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510640","CT ANGIO BODY","HAS_SLOTS","24.06.2026. 19:30","11.02.2026. 19:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510630","CT ANGIO GLAVE I VRATA","HAS_SLOTS","24.06.2026. 16:30","04.03.2026. 15:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510324","CT BODY 1","HAS_SLOTS","30.06.2026. 19:00","16.06.2026. 16:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510336","CT BODY 2","HAS_SLOTS","30.06.2026. 19:00","05.06.2026. 16:00","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510316","CT BODY ONKOLOЕ KI","HAS_SLOTS","31.12.2026. 19:00","09.05.2026. 09:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510366","CT KOLONOSKOPIJE","HAS_SLOTS","25.06.2026. 08:15","19.02.2026. 08:15","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510326","CT KORONOGRAFIJE","HAS_SLOTS","30.08.2026. 16:00","28.06.2026. 14:40","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
"CENTAR ZA RADIOLOSKU DIJAGNOSTIKU","510346","CT MSK","HAS_SLOTS","24.06.2026. 13:00","25.02.2026. 11:30","11.02.2026","https://www.kccg.me/wp-content/uploads/2026/02/prvi-slobodan-termin-kccg-5.pdf"
